main
Starting Chunker..(wait a few mins)
USING METHOD:currword_currpos_prevpos
FINISHED TRAIN_SET:
  ==> Training (100 iterations)

      Iteration    Log Likelihood    Accuracy
      ---------------------------------------
             1          -1.94591        0.181
             2          -0.40055        0.912
             3          -0.29279        0.920
             4          -0.25008        0.923
             5          -0.22574        0.926
             6          -0.20939        0.928
             7          -0.19734        0.929
             8          -0.18796        0.931
             9          -0.18037        0.932
            10          -0.17408        0.933
            11          -0.16874        0.933
            12          -0.16416        0.934
            13          -0.16017        0.934
            14          -0.15666        0.934
            15          -0.15354        0.934
            16          -0.15075        0.935
            17          -0.14823        0.935
            18          -0.14596        0.935
            19          -0.14388        0.936
            20          -0.14198        0.936
            21          -0.14024        0.936
            22          -0.13862        0.936
            23          -0.13713        0.936
            24          -0.13575        0.936
            25          -0.13446        0.936
            26          -0.13325        0.937
            27          -0.13212        0.937
            28          -0.13106        0.937
            29          -0.13007        0.937
            30          -0.12913        0.937
            31          -0.12824        0.937
            32          -0.12740        0.937
            33          -0.12660        0.937
            34          -0.12585        0.937
            35          -0.12513        0.937
            36          -0.12445        0.937
            37          -0.12380        0.937
            38          -0.12318        0.937
            39          -0.12258        0.937
            40          -0.12202        0.937
            41          -0.12147        0.938
            42          -0.12095        0.938
            43          -0.12046        0.938
            44          -0.11998        0.938
            45          -0.11952        0.938
            46          -0.11907        0.938
            47          -0.11865        0.938
            48          -0.11824        0.938
            49          -0.11784        0.938
            50          -0.11746        0.938
            51          -0.11709        0.938
            52          -0.11673        0.938
            53          -0.11639        0.938
            54          -0.11605        0.938
            55          -0.11573        0.938
            56          -0.11542        0.938
            57          -0.11512        0.938
            58          -0.11482        0.938
            59          -0.11454        0.938
            60          -0.11426        0.938
            61          -0.11400        0.938
            62          -0.11373        0.938
            63          -0.11348        0.938
            64          -0.11324        0.938
            65          -0.11300        0.938
            66          -0.11276        0.938
            67          -0.11254        0.938
            68          -0.11231        0.938
            69          -0.11210        0.938
            70          -0.11189        0.938
            71          -0.11168        0.938
            72          -0.11149        0.938
            73          -0.11129        0.938
            74          -0.11110        0.938
            75          -0.11091        0.938
            76          -0.11073        0.938
            77          -0.11056        0.938
            78          -0.11038        0.938
            79          -0.11021        0.938
            80          -0.11005        0.938
            81          -0.10989        0.938
            82          -0.10973        0.938
            83          -0.10957        0.938
            84          -0.10942        0.938
            85          -0.10927        0.938
            86          -0.10913        0.938
            87          -0.10899        0.938
            88          -0.10885        0.938
            89          -0.10871        0.938
            90          -0.10858        0.938
            91          -0.10844        0.938
            92          -0.10831        0.938
            93          -0.10819        0.938
            94          -0.10806        0.938
            95          -0.10794        0.938
            96          -0.10782        0.938
            97          -0.10771        0.938
            98          -0.10759        0.938
            99          -0.10748        0.938
         Final          -0.10737        0.938
currword_currpos_prevpos_classifier1.pickle
PRINTING CLASSIFIER
<ConditionalExponentialClassifier: 7 labels, 26414 features>
FINISHED CLASSIFIER
