main
Starting Chunker..(wait a few mins)
USING METHOD:currword_currpos_prevpos_nextword_nextpos
FINISHED TRAIN_SET:
  ==> Training (100 iterations)

      Iteration    Log Likelihood    Accuracy
      ---------------------------------------
             1          -1.94591        0.181
             2          -0.48170        0.908
             3          -0.31344        0.930
             4          -0.24883        0.936
             5          -0.21400        0.941
             6          -0.19185        0.944
             7          -0.17631        0.947
             8          -0.16467        0.949
             9          -0.15552        0.951
            10          -0.14809        0.952
            11          -0.14188        0.954
            12          -0.13660        0.956
            13          -0.13203        0.957
            14          -0.12802        0.958
            15          -0.12446        0.959
            16          -0.12128        0.960
            17          -0.11840        0.960
            18          -0.11580        0.961
            19          -0.11342        0.961
            20          -0.11123        0.962
            21          -0.10922        0.962
            22          -0.10735        0.962
            23          -0.10562        0.963
            24          -0.10400        0.963
            25          -0.10249        0.963
            26          -0.10107        0.964
            27          -0.09974        0.964
            28          -0.09848        0.964
            29          -0.09730        0.964
            30          -0.09618        0.964
            31          -0.09511        0.965
            32          -0.09410        0.965
            33          -0.09314        0.965
            34          -0.09223        0.965
            35          -0.09135        0.965
            36          -0.09052        0.966
            37          -0.08972        0.966
            38          -0.08896        0.966
            39          -0.08822        0.966
            40          -0.08752        0.966
            41          -0.08685        0.966
            42          -0.08620        0.966
            43          -0.08557        0.966
            44          -0.08497        0.967
            45          -0.08439        0.967
            46          -0.08383        0.967
            47          -0.08329        0.967
            48          -0.08276        0.967
            49          -0.08226        0.967
            50          -0.08177        0.967
            51          -0.08130        0.967
            52          -0.08084        0.967
            53          -0.08039        0.967
            54          -0.07996        0.967
            55          -0.07954        0.968
            56          -0.07913        0.968
            57          -0.07874        0.968
            58          -0.07836        0.968
            59          -0.07798        0.968
            60          -0.07762        0.968
            61          -0.07726        0.968
            62          -0.07692        0.968
            63          -0.07658        0.968
            64          -0.07626        0.968
            65          -0.07594        0.968
            66          -0.07563        0.968
            67          -0.07532        0.968
            68          -0.07503        0.968
            69          -0.07474        0.969
            70          -0.07445        0.969
            71          -0.07418        0.969
            72          -0.07391        0.969
            73          -0.07364        0.969
            74          -0.07338        0.969
            75          -0.07313        0.969
            76          -0.07288        0.969
            77          -0.07264        0.969
            78          -0.07241        0.969
            79          -0.07217        0.969
            80          -0.07195        0.969
            81          -0.07172        0.969
            82          -0.07150        0.969
            83          -0.07129        0.969
            84          -0.07108        0.969
            85          -0.07087        0.969
            86          -0.07067        0.969
            87          -0.07047        0.969
            88          -0.07028        0.969
            89          -0.07009        0.969
            90          -0.06990        0.969
            91          -0.06972        0.969
            92          -0.06953        0.969
            93          -0.06936        0.969
            94          -0.06918        0.970
            95          -0.06901        0.970
            96          -0.06884        0.970
            97          -0.06867        0.970
            98          -0.06851        0.970
            99          -0.06835        0.970
         Final          -0.06819        0.970
currword_currpos_prevpos_nextword_nextpos_classifier1.pickle
PRINTING CLASSIFIER
<ConditionalExponentialClassifier: 7 labels, 60164 features>
FINISHED CLASSIFIER
